date_reg,type,maker,model,colour,fuel,state,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS,has_emission_data,fuel_consumption_L100km,Car_Age,CO2_Emission_Category
2025-01-22,jip,MAZDA,CX-9,black,petrol,W.P. Kuala Lumpur,2014.0,MAZDA,CX-9,SUV - SMALL,3.7,6.0,AS6,X,14.2,10.0,12.3,23.0,283.0,True,19.122764227642275,11.0,High Emission
2025-01-24,motokar,HONDA,FIT,white,petrol,Rakan Niaga,2014.0,HONDA,FIT,STATION WAGON - SMALL,1.5,4.0,A5,X,8.3,6.5,7.5,38.0,172.0,True,31.361333333333334,11.0,Low Emission
2025-01-27,motokar,DODGE,CHALLENGER,yellow,petrol,Sarawak,2014.0,DODGE,CHALLENGER,MID-SIZE,3.6,6.0,A5,X,13.2,8.7,11.2,25.0,258.0,True,21.00089285714286,11.0,Medium Emission
2025-01-27,jip,TOYOTA,RAV4,black,petrol,W.P. Kuala Lumpur,2014.0,TOYOTA,RAV4,SUV - SMALL,2.5,4.0,AS6,X,10.0,7.6,8.9,32.0,205.0,True,26.42808988764045,11.0,Low Emission
2025-01-31,motokar,AUDI,A8,grey,petrol,W.P. Kuala Lumpur,2014.0,AUDI,A8,MID-SIZE,3.0,6.0,AS8,Z,13.1,8.8,11.2,25.0,258.0,True,21.00089285714286,11.0,Medium Emission
2025-02-05,motokar,VOLKSWAGEN,BEETLE,yellow,petrol,Kedah,2014.0,VOLKSWAGEN,BEETLE,COMPACT,1.8,4.0,A6,X,9.5,7.2,8.5,33.0,196.0,True,27.671764705882353,11.0,Low Emission
2025-02-06,motokar,AUDI,R8,green,petrol,W.P. Kuala Lumpur,2014.0,AUDI,R8,TWO-SEATER,4.2,8.0,A7,Z,17.6,11.0,14.6,19.0,336.0,True,16.11027397260274,11.0,High Emission
2025-02-06,motokar,MITSUBISHI,LANCER,white,petrol,W.P. Kuala Lumpur,2014.0,MITSUBISHI,LANCER,COMPACT,2.0,4.0,AV6,X,9.2,7.0,8.2,34.0,189.0,True,28.684146341463418,11.0,Low Emission
2025-02-07,jip,KIA,SORENTO,grey,petrol,Rakan Niaga,2014.0,KIA,SORENTO,SUV - SMALL,2.4,4.0,A6,X,11.8,8.5,10.3,27.0,237.0,True,22.835922330097087,11.0,Medium Emission
2025-02-12,motokar,CHEVROLET,CRUZE,white,petrol,Sarawak,2014.0,CHEVROLET,CRUZE,MID-SIZE,1.4,4.0,AS6,X,9.1,6.3,7.8,36.0,179.0,True,30.155128205128207,11.0,Low Emission
2025-02-17,jip,VOLKSWAGEN,TOUAREG,white,petrol,Rakan Niaga,2014.0,VOLKSWAGEN,TOUAREG,SUV - STANDARD,3.6,6.0,AS8,Z,13.8,10.3,12.2,23.0,281.0,True,19.279508196721313,11.0,High Emission
2025-02-26,motokar,CHEVROLET,CORVETTE,blue,petrol,W.P. Kuala Lumpur,2014.0,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.0,AS6,Z,14.9,8.5,12.0,24.0,276.0,True,19.600833333333334,11.0,High Emission
2025-02-28,motokar,AUDI,RS7,black,petrol,Pulau Pinang,2014.0,AUDI,RS7,MID-SIZE,4.0,8.0,AS8,Z,15.3,9.3,12.6,22.0,290.0,True,18.667460317460318,11.0,High Emission
2025-03-04,window_van,TOYOTA,SIENNA,black,petrol,W.P. Kuala Lumpur,2014.0,TOYOTA,SIENNA,MINIVAN,3.5,6.0,AS6,X,12.9,9.4,11.3,25.0,260.0,True,20.81504424778761,11.0,High Emission
2025-03-06,motokar,AUDI,A4,silver,petrol,Johor,2014.0,AUDI,A4,COMPACT,2.0,4.0,AV8,Z,9.9,7.4,8.8,32.0,202.0,True,26.72840909090909,11.0,Low Emission
2025-03-06,motokar,FORD,FOCUS,silver,petrol,Johor,2014.0,FORD,FOCUS,COMPACT,2.0,4.0,M6,X,10.2,7.4,8.9,32.0,205.0,True,26.42808988764045,11.0,Low Emission
2025-03-13,motokar,BENTLEY,MULSANNE,black,petrol,W.P. Kuala Lumpur,2014.0,BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,22.3,14.9,19.0,15.0,437.0,True,12.379473684210527,11.0,High Emission
2025-03-13,motokar,JAGUAR,XF,white,petrol,W.P. Kuala Lumpur,2014.0,JAGUAR,XF,MID-SIZE,2.0,4.0,AS8,Z,12.3,8.2,10.5,27.0,242.0,True,22.400952380952383,11.0,Medium Emission
2025-03-20,jip,AUDI,SQ5,white,petrol,Rakan Niaga,2014.0,AUDI,SQ5,SUV - SMALL,3.0,6.0,AS8,Z,14.9,10.1,12.7,22.0,292.0,True,18.520472440944882,11.0,High Emission
2025-03-21,jip,HYUNDAI,TUCSON,white,petrol,Rakan Niaga,2014.0,HYUNDAI,TUCSON,SUV - SMALL,2.0,4.0,A6,X,10.2,8.2,9.3,30.0,214.0,True,25.291397849462363,11.0,Low Emission
2025-03-24,motokar,MASERATI,GRANTURISMO,maroon,petrol,W.P. Kuala Lumpur,2014.0,MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8.0,AS6,Z,18.2,11.4,15.1,19.0,347.0,True,15.57682119205298,11.0,High Emission
2025-04-22,motokar,ASTON MARTIN,VANQUISH,green,petrol,W.P. Kuala Lumpur,2014.0,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12.0,A6,Z,18.0,12.6,15.6,18.0,359.0,True,15.077564102564104,11.0,High Emission
2025-04-28,motokar,AUDI,S8,white,petrol,Rakan Niaga,2014.0,AUDI,S8,MID-SIZE,4.0,8.0,AS8,Z,15.4,9.8,12.9,22.0,297.0,True,18.233333333333334,11.0,High Emission
2025-04-30,jip,AUDI,Q7,white,petrol,Rakan Niaga,2014.0,AUDI,Q7,SUV - STANDARD,3.0,6.0,AS8,Z,15.1,10.9,13.2,21.0,304.0,True,17.818939393939395,11.0,High Emission
2025-04-30,jip,JEEP,CHEROKEE,black,petrol,Johor,2014.0,JEEP,CHEROKEE,SUV - SMALL,2.4,4.0,A9,X,10.9,7.7,9.5,30.0,218.0,True,24.758947368421055,11.0,Low Emission
